Bastia
Bordeaux
Caen
Evian
Guingamp
Lens
Lille
Lorient
Lyon
Marseille
Metz
Monaco
Montpellier
Nantes
Nice
Paris Saint-Germain
PSG
Reims
Rennes
Saint-Etienne
Toulouse
Barcelona
Real
Atletico de Madrid
Valencia CF
Sevilla
Villarreal
Athletic
Celta
Malaga
Espanyol
Rayo Vallecano
Real Sociedad
Elche
Levante
Getafe
Deportivo
Granada
Eibar
Almeria
Cordoba
Augsburg
Bayer Leverkusen
Bayern Munich
Borussia Dortmund
Frankfurt
Freiburg
Hamburger
Hannover 96
Hertha
Hoffenheim
FC Koln
Mainz 05
Paderborn 07
Schalke 04
Stuttgart
Werder Bremen
Wolfsburg
Arsenal
Aston Villa
Burnley
Chelsea
Crystal Palace
Everton
Hull City
Leicester City
Liverpool
Manchester City
Manchester United
Newcastle
Queens Park Rangers
Southampton
Stoke
Sunderland
Swansea
Tottenham
West Bromwich
West Ham
Atalanta
Cagliari
Cesena
Chievo
Empoli
Fiorentina
Genoa
Inter Milan
Internazionale
Inter
Juventus
Lazio
Milan
Napoli
Palermo
Parma
Roma
Sampdoria
Sassuolo
Torino
Udinese
Verona
Amkar
Arsenal
CSKA
Dynamo
Krasnodar
Kuban
Lokomotiv
Mordovia
Rostov
Rubin
Spartak
Terek
Torpedo
Ufa
Ural
Zenit
Legia
Lech
Jagiellonia
Slask
Wisla
Gornik
Pogon
Lechia
Korona
Piast
Podbeskidzie
Cracovia
Leczna
Ruch
GKS
Zawisza
BATE
Dinamo Minsk
Naftan
Shakhtyor
FC Gomel
Torpedo
Neman
FC Minsk
Slutsk
Dinamo Brest
Belshina
Dnepr
Plzen
Sparta
Jablonec
Mlada
Pribram
Dukla
Teplice
Bohemians
Slovacko
Jihlava
Slavia
Liberec
Ostrava
Brno
Hradec Kralove
Ceske Budejovice
Benfica
Porto
Sporting CP
Sporting Braga
Vitoria Guimaraes
Belenenses
Nacional
Pacos de Ferreira
Maritimo
Rio Ave
Moreirense
Estoril
Boavista
Vitoria Setubal
Academica
Arouca
Penafiel
Racing
River Plate
Lanus
Independiente
Boca Juniors
Estudiantes
Tigre
San Lorenzo
Arsenal Sarandi
Belgrano
Velez
Newells Old Boys
Rafaela
Gimnasia
Rosario Central
Godoy Cruz
Banfield
Defensa
Olimpo Bahia Blanca
Quilmes
Celtic
Aberdeen
Inverness
Dundee Utd
St Johnstone
Dundee FC
Hamilton
Partick
Kilmarnock
Ross County
Motherwell
St. Mirren
