p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.0,0.7,3.16,0.674,6.4,1.913,0.054,0.052,0.056,0.039
0.0,0.7,3.39,0.631,6.35,1.889,0.069,0.09,0.068,0.065
0.0,0.8,3.17,0.694,6.11,1.731,0.044,0.051,0.049,0.038
0.0,0.8,3.38,0.596,5.94,1.848,0.054,0.057,0.063,0.043
0.0,0.8,3.07,0.696,6.19,1.798,0.062,0.046,0.06,0.032
0.0,0.8,3.39,0.598,6.4,1.822,0.062,0.074,0.067,0.055
0.0,0.8,3.26,0.541,6.45,2.066,0.055,0.074,0.054,0.059
0.0,0.8,3.26,0.658,6.12,2.006,0.052,0.058,0.057,0.041
0.0,0.8,3.33,0.584,6.18,1.905,0.068,0.072,0.066,0.057
0.0,0.8,3.13,0.744,6.11,1.854,0.039,0.058,0.041,0.043
0.0,0.8,3.27,0.614,6.38,2.029,0.063,0.064,0.059,0.055
0.0,0.8,3.22,0.626,6.02,1.816,0.063,0.07,0.059,0.052
0.0,0.9,3.14,0.633,5.98,1.732,0.055,0.07,0.051,0.05
0.0,0.9,3.35,0.572,6.4,2.163,0.072,0.106,0.074,0.075
0.0,0.9,3.25,0.684,6.3,1.957,0.051,0.056,0.05,0.048
0.0,0.9,3.33,0.567,6.63,1.793,0.066,0.071,0.065,0.052
0.0,0.9,3.19,0.659,5.91,1.945,0.053,0.056,0.05,0.041
0.0,0.9,3.22,0.642,6.52,1.91,0.059,0.061,0.059,0.044
0.0,0.9,3.28,0.601,6.09,1.703,0.048,0.066,0.047,0.054
0.0,0.9,3.32,0.614,6.1,1.91,0.065,0.081,0.065,0.062
0.0,0.9,3.31,0.578,6.13,2.003,0.063,0.084,0.059,0.067
0.0,0.9,3.27,0.705,6.26,2.052,0.064,0.077,0.067,0.059
0.0,1.0,3.12,0.697,6.36,1.652,0.054,0.06,0.057,0.049
0.0,1.0,3.38,0.613,6.25,1.992,0.055,0.064,0.063,0.044
0.0,1.0,3.35,0.572,5.82,1.676,0.066,0.089,0.061,0.065
0.0,1.0,3.34,0.604,6.35,2.09,0.064,0.082,0.064,0.06
0.0,1.0,3.29,0.711,6.37,1.917,0.053,0.06,0.059,0.046
0.0,1.0,3.39,0.598,6.0,1.913,0.058,0.076,0.061,0.058
0.0,1.0,3.19,0.628,6.27,1.827,0.062,0.055,0.066,0.042
0.0,1.0,3.39,0.564,6.33,1.637,0.067,0.069,0.064,0.056
0.0,1.0,3.18,0.59,5.89,1.843,0.075,0.068,0.073,0.052
0.0,1.0,3.33,0.617,6.12,1.818,0.056,0.071,0.061,0.05
0.1,0.0,3.34,0.62,6.45,1.941,0.066,0.07,0.069,0.051
0.1,0.0,3.42,0.569,6.32,1.529,0.063,0.068,0.068,0.05
0.1,0.0,3.27,0.598,6.32,1.783,0.064,0.075,0.066,0.055
0.1,0.0,3.35,0.555,6.54,1.992,0.063,0.059,0.069,0.045
0.1,0.0,3.37,0.594,6.27,1.87,0.064,0.063,0.068,0.048
0.1,0.0,3.38,0.579,6.43,2.036,0.066,0.066,0.067,0.048
0.1,0.0,3.33,0.584,6.31,1.641,0.07,0.07,0.073,0.053
0.1,0.0,3.4,0.6,6.61,1.928,0.065,0.072,0.071,0.053
0.1,0.0,3.26,0.642,6.43,1.961,0.063,0.07,0.064,0.051
0.1,0.0,3.36,0.609,6.65,2.022,0.06,0.071,0.065,0.051
0.1,0.1,3.34,0.604,6.17,2.015,0.069,0.102,0.069,0.073
0.1,0.1,3.3,0.686,6.55,1.83,0.068,0.068,0.072,0.05
0.1,0.1,3.3,0.557,6.31,2.048,0.072,0.064,0.073,0.05
0.1,0.1,3.29,0.683,6.69,2.067,0.062,0.059,0.063,0.045
0.1,0.1,3.32,0.527,6.75,2.012,0.065,0.065,0.068,0.049
0.1,0.1,3.33,0.617,6.82,2.027,0.054,0.066,0.058,0.055
0.1,0.1,3.29,0.621,6.41,1.828,0.072,0.076,0.072,0.055
0.1,0.1,3.41,0.549,6.58,2.055,0.068,0.083,0.072,0.06
0.1,0.1,3.42,0.551,6.49,1.723,0.069,0.066,0.077,0.05
0.1,0.1,3.18,0.684,6.25,1.925,0.058,0.055,0.064,0.041
0.1,0.2,3.38,0.69,6.47,1.921,0.061,0.052,0.07,0.039
0.1,0.2,3.23,0.705,6.31,1.826,0.054,0.073,0.052,0.058
0.1,0.2,3.35,0.654,6.26,1.978,0.063,0.078,0.068,0.059
0.1,0.2,3.16,0.689,6.32,1.805,0.056,0.048,0.059,0.037
0.1,0.2,3.38,0.613,6.48,1.814,0.064,0.071,0.069,0.053
0.1,0.2,3.35,0.622,6.14,1.613,0.061,0.071,0.06,0.057
0.1,0.2,3.34,0.604,6.44,1.813,0.069,0.07,0.07,0.054
0.1,0.2,3.24,0.618,6.2,1.865,0.043,0.067,0.048,0.048
0.1,0.2,3.2,0.648,6.47,2.123,0.056,0.076,0.056,0.056
0.1,0.2,3.33,0.649,6.14,1.655,0.06,0.069,0.063,0.053
0.1,0.3,3.17,0.633,6.37,1.826,0.056,0.07,0.058,0.049
0.1,0.3,3.33,0.617,6.31,2.096,0.048,0.07,0.048,0.054
0.1,0.3,3.29,0.571,6.54,2.007,0.063,0.079,0.062,0.062
0.1,0.3,3.35,0.555,6.25,1.878,0.056,0.079,0.057,0.063
0.1,0.3,3.25,0.654,6.17,2.191,0.06,0.068,0.054,0.057
0.1,0.3,3.39,0.631,6.35,1.785,0.054,0.073,0.06,0.057
0.1,0.3,3.26,0.642,6.1,1.957,0.052,0.066,0.049,0.052
0.1,0.3,3.34,0.604,6.55,1.851,0.066,0.092,0.063,0.068
