dist_metric,iter_number,sources accuracy
5.5670001194831276,5,"[0.5953095778619992, 0.5072431598286558, 0.4655606956774633, 0.5947628935376039, 0.47519935759200627]"
5.7261873393731513,5,"[0.6592416514090106, 0.5707660970535134, 0.41267169998968606, 0.5555365399846826, 0.5257715030797178]"
4.7703195532219453,9,"[0.5206182301659508, 0.4472117572788119, 0.387519930153414, 0.4991437919881473, 0.417767120804977]"
7.7234894487776389,5,"[0.7488695286377456, 0.6040577327626051, 0.6812760865158431, 0.69065548661464, 0.6218109088163153]"
5.9155113242531501,6,"[0.6020025339071363, 0.5189605960460072, 0.49898454597262953, 0.540930841122223, 0.5094793383295559]"
5.6621801197443,6,"[0.48541313423473165, 0.5365412500705294, 0.3994367900434557, 0.5147743361639748, 0.553975646370367]"
5.569255182855767,6,"[0.4749666534903034, 0.5529467409015261, 0.3925446508179755, 0.5521080876806648, 0.5218892517017882]"
7.4169228674817269,6,"[0.6197760850302539, 0.6627145907935778, 0.4372897534307372, 0.6427506566337795, 0.6213978603250571]"
8.2260113408596922,5,"[0.7321284574044724, 0.5869512986309866, 0.6300225813869005, 0.691327377241545, 0.6268661540186532]"
6.1298345261725053,6,"[0.6144766215121239, 0.5410264468626125, 0.5101505176751648, 0.5641716938033164, 0.4963651010138668]"
6.3382271037723177,4,"[0.6770812503383129, 0.5414036734325302, 0.5064884344392498, 0.5841301643302701, 0.5781319290878945]"
6.9948911295463283,4,"[0.5112036718176282, 0.6533622076686997, 0.4953876428024672, 0.5956110490726502, 0.6497537172492098]"
4.1001575311147551,7,"[0.5215535592197966, 0.4976585604391575, 0.3183435307570163, 0.5860035257618437, 0.33260429041103684]"
3.9855519935795445,6,"[0.4107088063420605, 0.3836787498380775, 0.40989531072351976, 0.43993912685052283, 0.36459223261169493]"
5.3158642023793501,4,"[0.5370140141476062, 0.5042815540478717, 0.5243276017990576, 0.4754250582404115, 0.3161689543985389]"
5.7569239729528956,6,"[0.5790229114248504, 0.5941622490676984, 0.46354234771001274, 0.45884003356671277, 0.5331164016844883]"
4.5072769949062037,8,"[0.405247120027288, 0.48576685168207195, 0.5233786273309414, 0.443321882090928, 0.3913913213841033]"
3.6898403726298024,7,"[0.4648010819519035, 0.4051114475757548, 0.3836413776350747, 0.4946816844735188, 0.42356911010745396]"
6.3256573107829768,4,"[0.6504290686356852, 0.5711249364472762, 0.4530045755824837, 0.5836998747278269, 0.5470048640253475]"
3.4577714854384993,8,"[0.45540929635108696, 0.299898471400914, 0.3789011066986139, 0.43031635405706264, 0.41135251691472463]"
4.9094326186906221,9,"[0.47226280003175786, 0.4785288366364058, 0.5006000101897062, 0.45776534176271155, 0.475806722130515]"
7.1315845342083177,4,"[0.6489641169819423, 0.47186225348917865, 0.5183299002181816, 0.6842549543972866, 0.5406196041463481]"
7.0412110131513845,4,"[0.6071221609849597, 0.6824871292731401, 0.5741740421784028, 0.6084068847779464, 0.5740026099102479]"
7.3454256701166463,5,"[0.6522319520318075, 0.4482620448106727, 0.5458070723539864, 0.659721952602194, 0.6289332059964738]"
5.1667184874795282,6,"[0.5709518625957777, 0.546494503585152, 0.4530445866069789, 0.43213704702448724, 0.5146156252571935]"
6.2402983658173667,4,"[0.5270504047368707, 0.5345273654984105, 0.5425854631953827, 0.5497737467285182, 0.5441273809707159]"
4.1145806359707677,7,"[0.47161149836631205, 0.4285337728217788, 0.41728159406867427, 0.4232347980869305, 0.33052271949058143]"
5.5316060961876143,5,"[0.7179146658760819, 0.5921389872968937, 0.39967764829601116, 0.5675514203825455, 0.537001682393784]"
3.9208014147397532,6,"[0.4014622781989443, 0.376689973965797, 0.36870260787437614, 0.4005829897315431, 0.3660382614857522]"
4.347253200332676,7,"[0.46371027517889957, 0.4394360502921234, 0.4594908148332742, 0.46275980037525727, 0.4410617108869879]"
4.8878851734916884,11,"[0.5737313044228199, 0.5674187799551514, 0.4383621889737099, 0.4557274932334007, 0.4904432894113952]"
4.7129406951714179,7,"[0.48673467265980613, 0.5176839624828553, 0.5286252390467319, 0.4402553212483265, 0.4834624380599015]"
5.6797870495503622,10,"[0.645832965879623, 0.3940651860245505, 0.4650981122255041, 0.5287778647609954, 0.4638389105576032]"
4.1234807679631071,6,"[0.5659843843687312, 0.4670251652746763, 0.45909742633808837, 0.36708617630239015, 0.46803576093129967]"
4.5430006887940992,5,"[0.4967358994168939, 0.4071819063234147, 0.4261950909781383, 0.5009619327831382, 0.3657004222820573]"
4.823387580601767,5,"[0.352079839690129, 0.4408173428145295, 0.37419180139038943, 0.5637074863201522, 0.23170545592149036]"
5.4273396371915146,7,"[0.6227645172886496, 0.479102192504753, 0.45772188909469, 0.465507417764353, 0.4856243994070369]"
6.0402410336540511,4,"[0.6303129710208563, 0.6100577340569099, 0.52872091612756, 0.5606303144233009, 0.5753119151286578]"
4.8261998436797358,8,"[0.4749245377668285, 0.4268912213121072, 0.4543192549873229, 0.5176375071781957, 0.34549171478450474]"
5.3285038072041182,6,"[0.5053440107783302, 0.29527941576664335, 0.5837484865177365, 0.46538748867100843, 0.39565940797794513]"
5.4733272571103297,6,"[0.5252755400107556, 0.5165790037405973, 0.41532773770911763, 0.48639395202146357, 0.5231087709162371]"
6.5001797514801396,8,"[0.5526410406868855, 0.6209007984493164, 0.5042165008444119, 0.5537560834970183, 0.593045905808551]"
3.61884892796831,8,"[0.4591176735527132, 0.40641559095538593, 0.4484770579220595, 0.47744237253359795, 0.3921075679648533]"
4.6571671037706626,5,"[0.4197544941381513, 0.37734605314399056, 0.4068175524754144, 0.4064284938944538, 0.490052407000427]"
4.1011055978281306,20,"[0.38826005380293627, 0.37397856892546066, 0.44208220544590227, 0.46643194397317594, 0.35919929698577596]"
4.7637814550643087,5,"[0.5169488927931359, 0.530838769212404, 0.3918801879024137, 0.5400967281381057, 0.43902978549008326]"
4.0546847958391261,6,"[0.38365027247255057, 0.6116571155976808, 0.3176437325929671, 0.4353547629583588, 0.3422268950663366]"
4.5494685369819843,7,"[0.4449978493769225, 0.3255421997819693, 0.36976498830556476, 0.41418476412696453, 0.37779235457591065]"
5.8002078178025274,6,"[0.5818070207477286, 0.5439141220531681, 0.5471229657571978, 0.5548192333860076, 0.5548819726009072]"
4.6587108858555499,8,"[0.38465581447913216, 0.3386991462447065, 0.4132332703997354, 0.5065355258573441, 0.3981730886866982]"
3.7127748793989692,7,"[0.3537045747460041, 0.32675987742874846, 0.43751208804461494, 0.3778619274345168, 0.4713494818616521]"
4.5120515435369724,8,"[0.41403433047729765, 0.4473969803871264, 0.3752138679196203, 0.3823084023316284, 0.43427425206304676]"
5.443834382014928,7,"[0.5238475250760332, 0.44814363650655736, 0.4630794922741363, 0.5371250430162434, 0.48127736707921837]"
5.401436893920553,9,"[0.6141043010815183, 0.558577405726014, 0.48155576845949416, 0.4996706632710651, 0.5966397108584603]"
3.8692399444841801,8,"[0.3702002985960448, 0.3529052098152404, 0.4352517582097663, 0.4175090531053809, 0.3555240867941887]"
4.117565348732005,8,"[0.3846072987950601, 0.3825945630020975, 0.3757405219823823, 0.4786908180312997, 0.35972029542792266]"
4.6225146048075629,6,"[0.4462305070912333, 0.31515036626005044, 0.48149980530612896, 0.39232872704358707, 0.48597032284868785]"
4.0452369265145496,4,"[0.36956522654165047, 0.42242617008481353, 0.4224950450227255, 0.4466785281454306, 0.22930898258328475]"
4.9215405850924094,8,"[0.48457812845585113, 0.4603536160336454, 0.46345444414726794, 0.5517768581890932, 0.4061283451581082]"
4.8386660480306523,15,"[0.498776927326862, 0.49103469008883716, 0.401413182649805, 0.5211954701271474, 0.3923309649813968]"
4.0441785473787144,7,"[0.4047705327496234, 0.37880867151648356, 0.4622711304143178, 0.44352158651028245, 0.3863086539855609]"
4.5253232094313578,5,"[0.4368430792813959, 0.39836174053798296, 0.32067911758583795, 0.42918591001368783, 0.4597194041174478]"
5.3491336909408664,7,"[0.5425230816403864, 0.5014247747143895, 0.4118053477323898, 0.5205983480777975, 0.3863915637002897]"
5.4269800171609308,6,"[0.5115334394910737, 0.4801241873847853, 0.46576365463143754, 0.4954315622058502, 0.5005930196700359]"
3.9460839952596753,12,"[0.41447066059138193, 0.3648587659995209, 0.3743228351327323, 0.4140822576648186, 0.3637007165054416]"
5.5635282161842419,5,"[0.6286948909536882, 0.5603643732230571, 0.47870624619695396, 0.5914091646043287, 0.5260082317593947]"
3.3132317079302975,9,"[0.4113859642752518, 0.2933545710058318, 0.34301229594608745, 0.3671410055132464, 0.572512861078861]"
3.912446452848485,6,"[0.5507202605788394, 0.4348885700295667, 0.4331539598139556, 0.4136921722831793, 0.46376151227487267]"
3.2824344462251358,6,"[0.3364979992500697, 0.3446404146205246, 0.34356944896569924, 0.39972666111582666, 0.38432030006028983]"
4.8839338632608325,10,"[0.48395911435152844, 0.3462524499872118, 0.36337909263941903, 0.4908530360068359, 0.4298947573756869]"
5.7478605565852723,5,"[0.4665967478237436, 0.4365560800404433, 0.4647139316380238, 0.5741824363728449, 0.4969674169624891]"
4.3361537531071344,6,"[0.4256932042858549, 0.3892080160007646, 0.3059465346285775, 0.4954788883200365, 0.44213815937959133]"
4.6231729905591799,6,"[0.530090919950468, 0.3342789971083774, 0.3352819895857766, 0.5466726481933025, 0.3837613983173636]"
6.6463743717810937,7,"[0.6123468628787897, 0.5167276630738548, 0.5258241338980081, 0.6285764334592413, 0.4488341367426458]"
5.6515391532560191,5,"[0.4600773365359878, 0.45101487165664356, 0.5123071764352661, 0.4885058482431876, 0.46603777735997437]"
6.3387503125737625,5,"[0.44066906346202295, 0.5408016287224853, 0.5105864588847088, 0.5919443022587594, 0.4786351886822146]"
5.322896753091598,8,"[0.5446139506171921, 0.3067517011979466, 0.478767428812026, 0.5786915614751867, 0.45426019814320784]"
4.1849993323444892,6,"[0.43557613888817553, 0.34295363572104487, 0.4029203181074928, 0.4578048886446434, 0.4059188219982898]"
